id,start_time,stop_time,sb,frq,amp
129,36.42597376,36.475973759999995,s,18031,3
130,36.52597376,36.60597376,b,18031,3
131,36.72604672,36.77604672,s,1818,4
132,36.82604672,36.90604672,b,1818,4
133,37.02603776,37.07603776,s,6608,3
134,37.12603776,37.20603776,b,6608,3
135,37.3260288,37.3760288,s,3226,5
136,37.426028800000005,37.5060288,b,3226,5
137,37.62601984,37.676019839999995,s,4297,6
138,37.72601984,37.80601984,b,4297,6
139,37.92601088,37.97601088,s,7627,3
140,38.02601088,38.10601088,b,7627,3
141,38.22600192,38.27600192,s,887,6
142,38.32600192,38.40600192,b,887,6
143,38.52599296,38.57599296,s,500,1
144,38.625992960000005,38.70599296,b,500,1
145,38.82606592,38.876065919999995,s,1182,6
146,38.92606592,39.00606592,b,1182,6
147,39.12605696,39.17605696,s,4297,2
148,39.22605696,39.30605696,b,4297,2
149,39.426048,39.476048,s,887,8
150,39.526048,39.606048,b,887,8
151,39.72603904,39.77603904,s,500,3
152,39.826039040000005,39.90603904,b,500,3
153,40.02603008,40.076030079999995,s,3723,7
154,40.12603008,40.20603008,b,3723,7
155,40.32602112,40.37602112,s,666,8
156,40.42602112,40.50602112,b,666,8
157,40.62601216,40.67601216,s,11727,4
158,40.72601216,40.80601216,b,11727,4
159,40.9260032,40.976003199999994,s,500,2
160,41.0260032,41.106003199999996,b,500,2
161,41.22607616,41.276076159999995,s,1182,1
162,41.32607616,41.40607616,b,1182,1
163,41.5260672,41.5760672,s,1818,3
164,41.6260672,41.7060672,b,1818,3
165,41.82605824,41.87605824,s,11727,1
166,41.92605824,42.00605824,b,11727,1
167,42.12604928,42.176049279999994,s,11727,3
168,42.22604928,42.306049279999996,b,11727,3
169,42.42604032,42.476040319999996,s,2795,6
170,42.52604032,42.60604032,b,2795,6
171,42.72603136,42.77603136,s,500,7
172,42.82603136,42.90603136,b,500,7
173,43.0260224,43.0760224,s,15622,2
174,43.126022400000004,43.2060224,b,15622,2
175,43.32601344,43.376013439999994,s,20812,1
176,43.42601344,43.50601344,b,20812,1
177,43.6260864,43.676086399999996,s,4297,4
178,43.7260864,43.8060864,b,4297,4
179,43.92607744,43.97607744,s,2098,5
180,44.02607744,44.10607744,b,2098,5
181,44.22606848,44.27606848,s,5725,5
182,44.32606848,44.40606848,b,5725,5
183,44.52605952,44.576059519999994,s,1182,5
184,44.62605952,44.70605952,b,1182,5
185,44.82605056,44.876050559999996,s,11727,5
186,44.92605056,45.00605056,b,11727,5
187,45.1260416,45.1760416,s,5725,7
188,45.2260416,45.3060416,b,5725,7
189,45.42603264,45.47603264,s,666,7
190,45.526032640000004,45.60603264,b,666,7
191,45.7261056,45.776105599999994,s,4297,5
192,45.8261056,45.9061056,b,4297,5
193,46.02609664,46.076096639999996,s,887,7
194,46.12609664,46.20609664,b,887,7
195,46.32608768,46.37608768,s,4297,5
196,46.42608768,46.50608768,b,4297,5
197,46.62607872,46.67607872,s,10160,3
198,46.726078720000004,46.80607872,b,10160,3
199,46.92606976,46.976069759999994,s,2795,7
200,47.02606976,47.10606976,b,2795,7
201,47.2260608,47.276060799999996,s,32000,8
202,47.3260608,47.4060608,b,32000,8
203,47.52605184,47.57605184,s,24021,6
204,47.62605184,47.70605184,b,24021,6
205,47.82604288,47.87604288,s,3226,4
206,47.926042880000004,48.00604288,b,3226,4
207,48.12611584,48.176115839999994,s,1364,8
208,48.22611584,48.30611584,b,1364,8
209,48.42610688,48.476106879999996,s,6608,2
210,48.52610688,48.60610688,b,6608,2
211,48.72609792,48.77609792,s,1575,1
212,48.82609792,48.90609792,b,1575,1
213,49.02608896,49.07608896,s,666,6
214,49.126088960000004,49.20608896,b,666,6
215,49.32608,49.376079999999995,s,887,3
216,49.42608,49.50608,b,887,3
217,49.62607104,49.67607104,s,3226,7
218,49.72607104,49.80607104,b,3226,7
219,49.92606208,49.97606208,s,2421,5
220,50.02606208,50.10606208,b,2421,5
221,50.22605312,50.27605312,s,666,6
222,50.326053120000005,50.40605312,b,666,6
223,50.52612608,50.576126079999995,s,2098,2
224,50.62612608,50.70612608,b,2098,2
225,50.82611712,50.876117119999996,s,1024,3
226,50.92611712,51.00611712,b,1024,3
227,51.12610816,51.17610816,s,20812,2
228,51.22610816,51.30610816,b,20812,2
229,51.4260992,51.4760992,s,3226,3
